irregular_verbs_mca_data_full_list
irregular_verbs_mca_data_full_list;;;;;;;;
irregular_verbs_mca_data;;;;;;;;
Verb;Error_Form;Irregular Verb Type;Country;Native_Language;Error_Type;Language_Family;Region;Years of English at School
arise;arised;Strong Verb;Brazil;Portuguese;overgeneralized_ed;Romance;South_America;6 years or more
arise;arised;Strong Verb;China-Hong Kong;Chinese-Cantonese;overgeneralized_ed;Sino-Tibetan;Asia;6 years or more
arise;arised;Strong Verb;China-Hong Kong;Chinese-Cantonese;overgeneralized_ed;Sino-Tibetan;Asia;6 years or more
arise;arised;Strong Verb;China-Hong Kong;Chinese-Cantonese;overgeneralized_ed;Sino-Tibetan;Asia;6 years or more
arise;arised;Strong Verb;Greece;Greek;overgeneralized_ed;Indo-European;Europe;6 years or more
arise;arised;Strong Verb;Greece;Greek;overgeneralized_ed;Indo-European;Europe;6 years or more
arise;arised;Strong Verb;Greece;Greek;overgeneralized_ed;Indo-European;Europe;6 years or more
arise;arised;Strong Verb;Hungary;Hungarian;overgeneralized_ed;Uralic;Europe;6 years or more
arise;arised;Strong Verb;Italy;Italian;overgeneralized_ed;Romance;Europe;6 years or more
arise;arised;Strong Verb;Lithuania;Lithuanian;overgeneralized_ed;Indo-European;Europe;6 years or more
arise;arised;Strong Verb;Russia;Russian;overgeneralized_ed;Indo-European;Europe;6 years or more
arise;arised;Strong Verb;Spain;Spanish;overgeneralized_ed;Romance;Europe;6 years or more
arise;arised;Strong Verb;Spain;Spanish;overgeneralized_ed;Romance;Europe;6 years or more
arise;arised;Strong Verb;Sweden;Swedish;overgeneralized_ed;Germanic;Europe;6 years or more
arise;arosen;Strong Verb;Italy;Italian;incorrect_participle;Romance;Europe;6 years or more
arise;arosen;Strong Verb;Turkey;Turkish;incorrect_participle;Turkic;Asia;6 years or more
awake;awaked;Strong Verb;Czech Republic;Czech;overgeneralized_ed;Indo-European;Europe;4 years
awake;awaked;Strong Verb;Russia;Russian;overgeneralized_ed;Indo-European;Europe;6 years or more
be;did not;Suppletive Verb;Iran;Persian;auxiliary_error;Indo-European;Asia;3 years
be;did not;Suppletive Verb;Iran;Persian;auxiliary_error;Indo-European;Asia;3 years
be;did not;Suppletive Verb;Italy;Italian;auxiliary_error;Romance;Europe;5 years
be;did not;Suppletive Verb;South Korea;Korean;auxiliary_error;Koreanic;Asia;6 years or more
be;did not;Suppletive Verb;South Korea;Korean;auxiliary_error;Koreanic;Asia;6 years or more
be;did not;Suppletive Verb;South Korea;Korean;auxiliary_error;Koreanic;Asia;6 years or more
be;did not;Suppletive Verb;Pakistan;Urdu;auxiliary_error;Indo-European;Asia;6 years or more
be;did not;Suppletive Verb;Russia;Russian;auxiliary_error;Indo-European;Europe;6 years or more
be;did not;Suppletive Verb;Russia;Russian;auxiliary_error;Indo-European;Europe;6 years or more
be;did not be;Suppletive Verb;Brazil;Portuguese;auxiliary_error;Romance;South_America;6 years or more
be;did not be;Suppletive Verb;South Korea;Korean;auxiliary_error;Koreanic;Asia;6 years or more
be;have be;Suppletive Verb;Brazil;Portuguese;incorrect_participle;Romance;South_America;6 years or more
be;have be;Suppletive Verb;Brazil;Portuguese;incorrect_participle;Romance;South_America;6 years or more
be;have be;Suppletive Verb;China-Hong Kong;Chinese-Cantonese;incorrect_participle;Sino-Tibetan;Asia;6 years or more
be;have be;Suppletive Verb;China-Hong Kong;Chinese-Cantonese;incorrect_participle;Sino-Tibetan;Asia;6 years or more
be;have be;Suppletive Verb;Belgium;French;incorrect_participle;Romance;Europe;6 years or more
be;have be;Suppletive Verb;Greece;Greek;incorrect_participle;Indo-European;Europe;6 years or more
be;have be;Suppletive Verb;Lithuania;Lithuanian;incorrect_participle;Indo-European;Europe;6 years or more
be;have be;Suppletive Verb;Lithuania;Lithuanian;incorrect_participle;Indo-European;Europe;6 years or more
be;has be;Suppletive Verb;China-Hong Kong;Chinese-Cantonese;incorrect_participle;Sino-Tibetan;Asia;6 years or more
be;has be;Suppletive Verb;Russia;Russian;incorrect_participle;Indo-European;Europe;6 years or more
be;has be;Suppletive Verb;South Africa;Tswana;incorrect_participle;Niger-Congo;Africa;6 years or more
be;hadn’t be;Suppletive Verb;Greece;Greek;incorrect_participle;Indo-European;Europe;6 years or more
bear;beared;Strong Verb;China-Hong Kong;Chinese-Cantonese;overgeneralized_ed;Sino-Tibetan;Asia;6 years or more
beat;beated;Strong Verb;Lithuania;Lithuanian;overgeneralized_ed;Indo-European;Europe;6 years or more
beat;beated;Strong Verb;Russia;Russian;overgeneralized_ed;Indo-European;Europe;6 years or more
become;are became;Strong Verb;South Africa;Tswana;incorrect_participle;Niger-Congo;Africa;6 years or more
become;becomed;Strong Verb;China-Hong Kong;Chinese-Cantonese;overgeneralized_ed;Sino-Tibetan;Asia;6 years or more
become;becomed;Strong Verb;Italy;Italian;overgeneralized_ed;Romance;Europe;6 years or more
become;becomed;Strong Verb;Macedonia;Macedonian;overgeneralized_ed;Indo-European;Europe;6 years or more
become;did not became;Strong Verb;Sweden;Swedish;auxiliary_error;Germanic;Europe;6 years or more
become;had became;Strong Verb;Czech Republic;Czech;incorrect_participle;Indo-European;Europe;3 years
become;have became;Strong Verb;Bulgaria;Bulgarian;incorrect_participle;Indo-European;Europe;5 years
become;have became;Strong Verb;Greece;Greek;incorrect_participle;Indo-European;Europe;6 years or more
become;have became;Strong Verb;Greece;Greek;incorrect_participle;Indo-European;Europe;6 years or more
become;have became;Strong Verb;Hungary;Hungarian;incorrect_participle;Uralic;Europe;4 years
become;have became;Strong Verb;Macedonia;Macedonian;incorrect_participle;Indo-European;Europe;6 years or more
become;have became;Strong Verb;Pakistan;Urdu;incorrect_participle;Indo-European;Asia;5 years
become;have became;Strong Verb;Pakistan;Urdu;incorrect_participle;Indo-European;Asia;6 years or more
