irregular_verbs_mca_data_romance_germanic
irregular_verbs_mca_data;;;;;;;;
Verb;Error_Form;Irregular Verb Type;Country;Native_Language;Error_Type;Language_Family;Region;Years of English at School
arise;arised;Strong Verb;Brazil;Portuguese;overgeneralized_ed;Romance;South_America;6 years or more
arise;arised;Strong Verb;Italy;Italian;overgeneralized_ed;Romance;Europe;6 years or more
arise;arised;Strong Verb;Spain;Spanish;overgeneralized_ed;Romance;Europe;6 years or more
arise;arised;Strong Verb;Spain;Spanish;overgeneralized_ed;Romance;Europe;6 years or more
arise;arised;Strong Verb;Sweden;Swedish;overgeneralized_ed;Germanic;Europe;6 years or more
arise;arosen;Strong Verb;Italy;Italian;incorrect_participle;Romance;Europe;6 years or more
be;did not;Suppletive Verb;Italy;Italian;auxiliary_error;Romance;Europe;5 years
be;did not be;Suppletive Verb;Brazil;Portuguese;auxiliary_error;Romance;South_America;6 years or more
be;have be;Suppletive Verb;Brazil;Portuguese;incorrect_participle;Romance;South_America;6 years or more
be;have be;Suppletive Verb;Brazil;Portuguese;incorrect_participle;Romance;South_America;6 years or more
be;have be;Suppletive Verb;Belgium;French;incorrect_participle;Romance;Europe;6 years or more
become;becomed;Strong Verb;Italy;Italian;overgeneralized_ed;Romance;Europe;6 years or more
become;did not became;Strong Verb;Sweden;Swedish;auxiliary_error;Germanic;Europe;6 years or more
become;have became;Strong Verb;Spain;Spanish;incorrect_participle;Romance;Europe;6 years or more
become;has became;Strong Verb;Brazil;Portuguese;incorrect_participle;Romance;South_America;6 years or more
become;has became;Strong Verb;Brazil;Portuguese;incorrect_participle;Romance;South_America;6 years or more
become;has became;Strong Verb;Italy;Italian;incorrect_participle;Romance;Europe;5 years
become;has became;Strong Verb;Norway;Norwegian;incorrect_participle;Germanic;Europe;6 years or more
become;has became;Strong Verb;Spain;Spanish;incorrect_participle;Romance;Europe;6 years or more
blow;blowed;Strong Verb;Spain;Spanish;overgeneralized_ed;Romance;Europe;Unknown
breed;breeded;Weak Verb;Finland;Swedish;overgeneralized_ed;Germanic;Europe;6 years or more
breed;breeded;Weak Verb;Italy;Italian;overgeneralized_ed;Romance;Europe;6 years or more
broadcast;broadcasted;Invariable Verb;Brazil;Portuguese;overgeneralized_ed;Romance;South_America;6 years or more
broadcast;broadcasted;Invariable Verb;Brazil;Portuguese;overgeneralized_ed;Romance;South_America;6 years or more
broadcast;broadcasted;Invariable Verb;Brazil;Portuguese;overgeneralized_ed;Romance;South_America;6 years or more
broadcast;broadcasted;Invariable Verb;Belgium;Dutch;overgeneralized_ed;Germanic;Europe;5 years
broadcast;broadcasted;Invariable Verb;Belgium;Dutch;overgeneralized_ed;Germanic;Europe;6 years or more
broadcast;broadcasted;Invariable Verb;Belgium;Dutch;overgeneralized_ed;Germanic;Europe;4 years
broadcast;broadcasted;Invariable Verb;Belgium;French;overgeneralized_ed;Romance;Europe;4 years
broadcast;broadcasted;Invariable Verb;Belgium;French;overgeneralized_ed;Romance;Europe;3 years
broadcast;broadcasted;Invariable Verb;Belgium;French;overgeneralized_ed;Romance;Europe;3 years
broadcast;broadcasted;Invariable Verb;Belgium;French;overgeneralized_ed;Romance;Europe;3 years
broadcast;broadcasted;Invariable Verb;Germany;German;overgeneralized_ed;Germanic;Europe;6 years or more
broadcast;broadcasted;Invariable Verb;Switzerland;German;overgeneralized_ed;Germanic;Europe;5 years
broadcast;broadcasted;Invariable Verb;Italy;Italian;overgeneralized_ed;Romance;Europe;6 years or more
broadcast;broadcasted;Invariable Verb;Norway;Norwegian;overgeneralized_ed;Germanic;Europe;6 years or more
broadcast;broadcasted;Invariable Verb;Norway;Norwegian;overgeneralized_ed;Germanic;Europe;6 years or more
broadcast;broadcasted;Invariable Verb;Norway;Norwegian;overgeneralized_ed;Germanic;Europe;6 years or more
broadcast;broadcasted;Invariable Verb;Norway;Norwegian;overgeneralized_ed;Germanic;Europe;6 years or more
broadcast;broadcasted;Invariable Verb;Spain;Spanish;overgeneralized_ed;Romance;Europe;6 years or more
broadcast;broadcasted;Invariable Verb;Sweden;Swedish;overgeneralized_ed;Germanic;Europe;Unknown
build;are build;Weak Verb;Germany;German;incorrect_participle;Germanic;Europe;6 years or more
build;builded;Weak Verb;Italy;Italian;overgeneralized_ed;Romance;Europe;6 years or more
build;is build;Weak Verb;Germany;German;incorrect_participle;Germanic;Europe;6 years or more
build;is build;Weak Verb;Germany;German;incorrect_participle;Germanic;Europe;6 years or more
